analysis_name,var_id,prompt
"銷售趨勢分析","sales_trend_analysis","system: 你是銷售數據分析專家，擅長從銷售數據中發現趨勢和模式。請用繁體中文回答。
user: 請分析以下銷售數據的趨勢：
時間範圍：{time_period}
銷售數據：{sales_data}
請提供：
1. 整體銷售趨勢（上升/下降/穩定）
2. 關鍵轉折點分析
3. 預測未來30天趨勢
4. 具體行動建議
回覆格式為markdown，300字內。"
"產品表現評估","product_performance","system: 你是產品管理專家，擅長評估產品市場表現。請用繁體中文回答。
user: 請評估以下產品的市場表現：
產品名稱：{product_name}
銷售指標：{sales_metrics}
市場平均：{market_average}
請分析產品定位（明星/問題/現金牛/瘦狗）並提供具體改進建議，200字內。"
"異常檢測報告","anomaly_detection_report","system: 你是數據異常檢測專家。請用繁體中文回答。
user: 以下是檢測到的銷售異常：
異常類型：{anomaly_type}
異常數據：{anomaly_data}
歷史基準：{baseline}
請分析可能原因並提供應對策略，格式為JSON：
{\"原因分析\": \"...\", \"影響評估\": \"...\", \"建議策略\": [\"策略1\", \"策略2\"]}"
"客戶分群分析","customer_segmentation_analysis","system: 你是客戶分析專家，專精於RFM分析與客戶分群。請用繁體中文回答。
user: 根據以下客戶DNA數據進行深入分析：
客戶統計：{customer_data}
分群數據：{segment_data}
請分析：
1. 各客戶群體的特徵與價值
2. 高價值客戶的行為模式
3. 流失風險客戶的預警信號
4. 針對性的行銷策略建議
請用markdown格式回覆，重點條列，400字內。"
"競品比較分析","competitor_comparison","system: 你是競爭情報分析師。請用繁體中文回答。
user: 比較以下產品與競品的表現：
自家產品：{our_product}
競品數據：{competitor_data}
市場環境：{market_context}
請分析競爭優勢、劣勢及差異化策略，300字內。"
"價格優化建議","price_optimization_suggestion","system: 你是定價策略專家。請用繁體中文回答。
user: 基於以下數據提供定價建議：
當前價格：{current_price}
價格彈性：{price_elasticity}
競品價格：{competitor_prices}
成本結構：{cost_structure}
請提供最優定價策略和預期效果，包含風險評估。"
"促銷效果評估","promotion_evaluation","system: 你是行銷活動分析專家。請用繁體中文回答。
user: 評估以下促銷活動效果：
活動名稱：{campaign_name}
活動成本：{campaign_cost}
銷售提升：{sales_lift}
ROI：{roi}
客戶參與度：{engagement}
請分析成功因素、改進建議，並提供未來活動優化方案。"
"庫存優化建議","inventory_optimization","system: 你是供應鏈管理專家。請用繁體中文回答。
user: 根據以下數據優化庫存：
當前庫存：{current_inventory}
銷售預測：{sales_forecast}
前置時間：{lead_time}
安全庫存：{safety_stock}
季節性因子：{seasonality}
請提供庫存管理建議，包含補貨點、訂購量、風險控制。"
"市場機會識別","market_opportunity_identification","system: 你是市場策略顧問。請用繁體中文回答。
user: 基於以下市場數據識別機會：
市場趨勢：{market_trends}
競爭格局：{competitive_landscape}
客戶需求：{customer_needs}
技術趨勢：{technology_trends}
請識別前3大市場機會並提供具體的進入策略與時程規劃。"
"銷售預測分析","sales_forecast_model","system: 你是預測分析專家。請用繁體中文回答。
user: 基於歷史數據預測未來銷售：
歷史銷售：{historical_sales}
季節因素：{seasonality}
市場趨勢：{market_trends}
外部因素：{external_factors}
請提供未來{forecast_period}的銷售預測、信心區間及關鍵假設。"
"客戶流失預警","churn_prediction","system: 你是客戶保留專家。請用繁體中文回答。
user: 分析以下客戶流失風險：
客戶行為：{customer_behavior}
流失指標：{churn_indicators}
歷史模式：{historical_patterns}
互動記錄：{interaction_history}
請識別高風險客戶並提供個人化挽留策略，包含時機與方法。"
"產品組合優化","portfolio_optimization","system: 你是產品組合管理專家。請用繁體中文回答。
user: 優化以下產品組合：
產品列表：{product_list}
銷售表現：{sales_performance}
利潤貢獻：{profit_contribution}
市場定位：{market_positioning}
請提供產品組合調整建議，包含淘汰、強化、新增的具體方案。"
"營收健康診斷","revenue_health_diagnosis","system: 你是財務分析專家，擅長營收健康度分析。請用繁體中文回答。
user: 根據以下營收數據進行健康診斷：
營收數據：{revenue_data}
客戶指標：{customer_metrics}
產品表現：{product_performance}
成長率：{growth_rates}
請提供營收健康度評估、風險預警及改善建議，250字內。"
"客戶獲取效率分析","acquisition_efficiency_analysis","system: 你是客戶獲取專家。請用繁體中文回答。
user: 分析客戶獲取效率：
獲取成本：{acquisition_cost}
轉換率：{conversion_rates}
客戶品質：{customer_quality}
管道表現：{channel_performance}
請評估各管道效率並提供優化建議，包含預算重新配置方案。"
"留存策略建議","retention_strategy_recommendation","system: 你是客戶留存策略專家。請用繁體中文回答。
user: 基於以下數據制定留存策略：
流失率：{churn_rate}
留存率：{retention_rate}
客戶滿意度：{satisfaction_scores}
產品使用情況：{usage_patterns}
請提供分階段留存策略，包含新手期、成長期、成熟期的不同做法。"
"轉化漏斗優化","conversion_funnel_optimization","system: 你是轉化優化專家。請用繁體中文回答。
user: 優化以下轉化漏斗：
漏斗數據：{funnel_data}
各階段轉換率：{conversion_rates}
流失點分析：{drop_off_points}
用戶行為：{user_behavior}
請識別瓶頸並提供優化建議，包含A/B測試方案。"
"DNA分群行銷建議","dna_segment_marketing","system: 你是客戶分群行銷專家，擅長根據RFM和DNA分析制定精準行銷策略。請用繁體中文回答。
user: 根據以下客戶分群數據提供行銷建議：
分群名稱：{segment_name}
群體特徵：{segment_characteristics}
平均指標：{avg_metrics}
群體規模：{segment_size}
請提供：
1. 該群體的行銷價值評估
2. 最適合的產品/服務推薦
3. 溝通頻率與管道建議
4. 具體的促銷活動設計
回覆200字內，重點條列。"
