concept_name,var_id,description
"レビューデータのアップロード","upload_reviews","顧客レビューを含むExcelまたはCSVファイルをアップロードします。複数ファイルの同時アップロードと自動マージをサポート。Variation（ブランド/製品）、Title、Body（レビュー内容）列を含む必要があります"
"販売データのアップロード","upload_sales","ポアソン回帰分析のための販売データのオプションアップロード。Variation、Time、Sales列を含む必要があります。システムはレビューと販売データを自動的にマッチングします"
"属性数の選択","num_attributes","レビューから抽出する製品属性の数を選択します（6-10）。システムはGPT-4o-miniを使用してレビュー内容を分析し、最も重要で頻繁に出現する製品特性を抽出します"
"属性を生成","gen_facets","AIが各Variationから30件のレビューをランダムサンプリングして分析し、指定された数の主要属性を抽出します。属性は出現頻度でランク付けされます"
"レビュー数","nrows","各Variationでスコアリングするレビューの数を設定します（10-100）。システムは指定された数のレビューをランダムサンプリングして属性スコアリングを行います"
"スコアリング開始","score_button","選択したレビューを属性でスコアリングします（1-5スケール）。並列処理を使用してGPTに複数のリクエストを同時送信し、スコアリングプロセスを高速化します"
"スコア平均テーブル","variation_mean_tbl","各Variation（ブランド/製品）の各属性の平均スコアを表示し、販売モデル分析の基礎データとして機能します"
"販売モデルを実行","run_poisson","ポアソン回帰を使用して、属性スコアが販売に与える影響を分析します。トラック乗数と限界効果を計算して、主要成功要因を特定します"
"トラック乗数","track_multiplier","exp(β × (max_score - min_score))、属性が最低スコアから最高スコアに改善された場合の全体的な販売影響乗数を表します。長期的な戦略的改善優先順位の特定に使用されます"
"限界効果パーセンテージ","marginal_effect","(exp(β) - 1) × 100、属性が1ポイント増加した場合の販売成長率を表します。日常最適化努力のROI評価に使用されます"
"スマートマッチング","smart_matching","レビューデータのVariationsが販売データと完全に一致しない場合、システムは自動的に対応関係を確立し、分析を続行できるようにします"
"PCA分析","pca_analysis","主成分分析は、多次元属性を3D空間の可視化に縮小します。PC1は通常全体的な品質、PC2は差別化機能、PC3はニッチ市場の好みを表します"
"理想製品分析","ideal_analysis","MAMBAメソッドを使用：各属性の理想点は全ブランドで最高スコアです。理想点以上のスコアを持つブランドは1ポイントを獲得します。合計スコアが高いほど、市場理想製品に近いことを示します"
"ログインシステム","login_system","ユーザー名とパスワードを使用してログインします。システムは新規アカウント登録をサポートしています。管理者アカウントは無制限ログイン、通常ユーザーは100回のログイン制限があります"
"データストレージ","data_storage","アップロードされた生データとスコアリング結果はJSON形式でデータベースに保存され、将来の分析と追跡が便利になります"
"ステップインジケーター","step_indicator","3ステッププロセスの進行状況を可視化：1. データアップロード → 2. 属性スコアリング → 3. 販売モデル。完了したステップは緑、現在のステップは青で表示されます"
"テストアカウント","test_account","システムデフォルトのテストアカウント：admin / admin123、無制限ログイン試行の管理者権限を持ちます"
"データベース切り替え","db_switch","システムはPostgreSQLを優先し、接続に失敗した場合は自動的にSQLiteローカルテストモードに切り替わり、スムーズな開発とテストを保証します"
"並列処理","parallel_processing","スコアリング中にfuture/furrrパッケージを使用して並列処理を行い、複数のレビュースコアリングの速度を大幅に向上させます"
"結果の解釈","result_interpretation","システムは戦略レベル（トラック乗数）と戦術レベル（限界効果）の具体的な推奨事項を含む分析レポートを自動生成します"
