en_us,zh_tw,
Application Settings,應用程式設定,
Marketing Channel,行銷通路,
Product Category,商品種類,
Region,地區,
Date Range,日期範圍,
Time Scale,時間尺度,
Year,年,
Quarter,季,
Month,月,
Customer Segment,顧客區隔,
Recency (R),最近購買 (R),
Data Aggregation Level,資料彙總層級,
Enable Comparison,啟用比較,
Comparison Type,比較類型,
Year-over-Year Comparison,同期比較,
Period-over-Period Comparison,上期比較,
Target Comparison,目標比較,
Channel,通路,
Select Campaign,選擇活動,
Create Campaign,建立新活動,
Target Audience,目標客群,
Apply Filters,套用篩選條件,
Micro Analysis,微觀分析,
Macro Analysis,宏觀分析,
Targeted Marketing,目標行銷,
AI Martech Platform,AI行銷科技平台,
Marketing Channels,行銷通路,
Macro analysis modules will appear here.,宏觀分析模組將放置於此處。,
Targeted marketing modules will appear here.,目標行銷模組將放置於此處。,
Customer Lookup (by ID or Name),顧客搜尋,
Enter customer ID or name,輸入顧客 ID 或名稱Position Table Analysis,品牌定位分析
Position Table Filters,品牌定位篩選,
Brand,品牌,
ASIN,品號,
Show ideal values,顯示理想值,
Reset Filters,重置篩選,
Position Analysis,定位分析,
Compare and analyze position metrics,比較並分析各品牌與產品的定位指標,
Position Table,品牌定位表,
asin,品號,
brand,品牌,
ranking,排名,
searches,搜尋量,
traffic,流量,
conversion,轉換率,
rating,評分,
sales,銷售額,
price,價格,
reviews,評論數,
position,位置,
page,頁數,
sponsored,廣告,
organic,自然,
Ready to filter data,準備篩選資料,
Loading data...,載入資料中...,
Computing results...,運算結果中...,
Error loading data,載入資料錯誤,
Export to Excel,匯出至Excel,
Position Data,品牌定位資料,
No brands available,沒有可用的品牌,
No ASINs available,沒有可用的品號,
No data available,沒有可用的資料,
Ideal,理想值,
