concept_name,var_id,description
"Upload Data","upload_button","Click to upload your review data file (supports Excel or CSV format)"
"Number of Attributes","num_attributes","Select the number of product attributes to extract from reviews. 10-15 attributes are recommended for general products"
"Brand Selection","brand_select","Select the target brand you want to analyze"
"Market Profile","market_profile_tab","Analyze market segmentation and brand positioning, identify leader brands, niche brands, etc."
"Brand DNA","dna_analysis_tab","Multi-dimensional radar chart showing brand performance across attributes"
"PCA Brand Positioning","pca_analysis","Principal Component Analysis (PCA) reduces 10-30 product attributes to 3 main dimensions, displaying brand relative positions in 3D space. Closer brands indicate similar overall attribute performance; attribute vectors point to brand clusters with greatest influence; dispersion reflects market competition diversity. PC1 typically represents overall quality or value, PC2 represents differentiation features, PC3 represents niche market preferences"
"Ideal Point Analysis","ideal_point_analysis","Calculated using MAMBA method: The ideal point for each attribute is the highest score among all brands. A brand scores 1 point if it meets or exceeds the ideal point for an attribute. Higher total scores indicate the brand achieves market-best performance on more key attributes"
"Strategic Positioning","strategy_positioning","Four-quadrant strategy matrix: Appeal (top-right) - high-scoring key factors are brand strengths; Change (top-left) - low-scoring key factors need urgent improvement; Improve (bottom-right) - high-scoring non-key factors maintain status; Weakness (bottom-left) - low-scoring non-key factors are low priority"
"Market Track","market_track","Identify high-growth potential market opportunities. X-axis represents growth potential (gap from ideal value), Y-axis represents market importance (key factor weight). Top-right quadrant represents high-potential tracks worth focused investment"
"Brand Identity","brand_identity","Analyze brand uniqueness and market positioning. X-axis represents uniqueness (attribute performance variance), Y-axis represents brand strength (overall rating). Top-right quadrant for market leaders, top-left for hidden champions"
"Segmentation Method","segmentation_method","Choose market segmentation analysis method: Attribute Performance - segment based on product attribute scores; Brand Characteristics - segment based on brand uniqueness; Comprehensive Analysis - combine multi-dimensional information for complete segmentation"
"Run AI Analysis","run_analysis","Click to execute AI-driven deep analysis, including market segmentation profile analysis, target customer preference analysis, and potential market opportunity identification. Analysis takes 30-60 seconds to complete"
"Customer Preferences","customer_preferences","Analysis of target customer characteristics, core needs, purchase decision factors, and brand communication strategies based on market segmentation data"
"Market Opportunities","market_opportunities","Identify unmet market needs, competitive white spaces, high-growth potential segments, and provide specific market entry strategies"
