concept_name,var_id,description
"データアップロード","upload_button","レビューデータファイルをアップロードするには、ここをクリックしてください（ExcelまたはCSV形式をサポート）"
"属性数","num_attributes","レビューから抽出する製品属性の数を選択してください。一般的な製品には10〜15個の属性をお勧めします"
"ブランド選択","brand_select","分析したいターゲットブランドを選択してください"
"市場プロファイル","market_profile_tab","市場セグメンテーションとブランドポジショニングを分析し、リーダーブランド、ニッチブランドなどを特定します"
"ブランドDNA","dna_analysis_tab","属性全体のブランドパフォーマンスを示す多次元レーダーチャート"
"PCAブランドポジショニング","pca_analysis","主成分分析（PCA）は、10〜30個の製品属性を3つの主要な次元に削減し、3D空間でブランドの相対的な位置を表示します。近いブランドは全体的な属性パフォーマンスが似ていることを示します。属性ベクトルは、その属性の影響力が最も大きいブランドグループを指します。分散は市場競争の多様性を反映しています。PC1は通常、全体的な品質または価値を表し、PC2は差別化機能を表し、PC3はニッチ市場の嗜好を表します"
"理想点分析","ideal_point_analysis","MAMBAメソッドを使用して計算：各属性の理想点は、すべてのブランドの中でその属性の最高スコアです。ブランドがある属性で理想点に達するか超える場合、1ポイントを獲得します。合計スコアが高いほど、そのブランドがより多くの重要な属性で市場最高のパフォーマンスを達成していることを示します"
"戦略的ポジショニング","strategy_positioning","4象限戦略マトリックス：アピール（右上）-高スコアの重要な要因がブランドの強み。変更（左上）-低スコアの重要な要因は緊急の改善が必要。改善（右下）-高スコアの非重要要因は維持。弱点（左下）-低スコアの非重要要因は低優先度"
"市場トラック","market_track","高成長潜在力のある市場機会を特定します。X軸は成長潜在力（理想値からの差）、Y軸は市場重要性（重要な要因の重み）を表します。右上の象限は、重点的な投資に値する高潜在力トラックを表します"
"ブランドアイデンティティ","brand_identity","ブランドの独自性と市場ポジショニングを分析します。X軸は独自性（属性パフォーマンスの分散）、Y軸はブランドの強さ（総合評価）を表します。右上の象限は市場リーダー、左上の象限は隠れたチャンピオンです"
"セグメンテーション方法","segmentation_method","市場セグメンテーション分析方法を選択：属性パフォーマンス-製品属性スコアに基づいてセグメント化。ブランド特性-ブランドの独自性に基づいてセグメント化。総合分析-多次元情報を組み合わせて完全なセグメンテーションを行う"
"AI分析を実行","run_analysis","このボタンをクリックしてAI駆動の詳細分析を実行します。市場セグメンテーションプロファイル分析、ターゲット顧客嗜好分析、潜在的な市場機会の特定が含まれます。分析には30〜60秒かかります"
"顧客の嗜好","customer_preferences","市場セグメンテーションデータに基づくターゲット顧客の特性、コアニーズ、購買決定要因、ブランドコミュニケーション戦略の分析"
"市場機会","market_opportunities","満たされていない市場ニーズ、競争の空白地帯、高成長潜在力セグメントを特定し、具体的な市場参入戦略を提供します"
