concept_name,var_id,description
"データアップロード","upload_button","このボタンをクリックして販売データファイル(Excel、CSV形式対応)をアップロードします。システムは顧客ID、時間、金額などの主要フィールドを自動検出します"
"期間選択","date_range","分析する販売データの期間を選択します。完全な顧客行動トレンドを観察するため、30〜90日の選択を推奨します"
"商品選択","product_select","分析対象の商品または商品カテゴリーを選択します。比較分析のため複数選択可能です"
"販売モニタリング","sales_monitor_tab","各商品ラインの販売パフォーマンスと主要指標をリアルタイムで監視します。収益、注文量、コンバージョン率などを含みます"
"市場トレンド","market_trends_tab","市場トレンドの変化を分析し、将来の販売方向を予測し、季節性パターンと周期的変化を識別します"
"競合分析","competitor_analysis","自社商品と競合他社の市場パフォーマンスを比較し、競争上の優位性と劣位性を識別し、差別化戦略を策定します"
"販売健全性スコア","sales_health_score","商品販売の健全性を総合評価します。100点が最適状態で、60点未満は戦略の即時調整が必要です"
"異常アラート","anomaly_alert","販売異常状況(急激な減少、在庫不足など)を自動検出し、関連担当者にリアルタイムで通知します"
"コンバージョン分析","conversion_analysis","閲覧から購入までのコンバージョン率を分析し、最適化の機会を特定し、販売効率を向上させます"
"顧客セグメント","customer_segmentation","購買行動に基づいて顧客をセグメント化(RFM分析)し、精密なマーケティング戦略を策定し、顧客価値を向上させます"
"商品ポートフォリオ","product_portfolio","商品ポートフォリオのパフォーマンスを分析し、スター商品、問題商品、キャッシュカウ、負け犬商品を識別し、商品戦略を最適化します"
"価格最適化","price_optimization","市場反応と競合価格に基づいて最適な価格設定の推奨を提供し、収益性と市場シェアのバランスを取ります"
"プロモーション効果","promotion_effectiveness","各プロモーション活動のROIを評価し、最も効果的なプロモーション戦略を特定し、マーケティング予算配分を最適化します"
"在庫管理","inventory_management","需要量を予測し、欠品や過剰在庫を回避し、在庫コストを削減し顧客満足度を向上させます"
"季節性分析","seasonality_analysis","販売の季節性パターンを識別し、マーケティング活動と在庫配置を事前に計画します"
"主要業績評価指標","kpi_dashboard","収益、粗利益率、平均注文額、リピート率などの重要KPIを追跡し、経営意思決定支援を提供します"
"予測モデル","forecast_model","AIを使用して今後30〜90日の販売トレンドを予測し、事業計画とリソース配分を支援します"
"マーケティングアトリビューション","marketing_attribution","各マーケティングチャネルの貢献度を分析し、予算配分を最適化し、マーケティングROIを向上させます"
"顧客ライフサイクル","customer_lifetime","顧客生涯価値(CLV)を計算し、顧客維持戦略を策定し、長期的な収益性を向上させます"
"クロスセリング","cross_selling","商品の相関関係を識別し、クロスセリングの推奨を提供し、平均注文額と顧客粘着度を向上させます"
"収益パルス","revenue_pulse_tab","収益規模、顧客単価、収益性の回復力を定量化し、収益健全性と成長モメンタムを追跡します"
"顧客獲得","customer_acquisition_tab","新規顧客獲得効率、コスト、品質を監視し、顧客成長戦略を最適化します"
"顧客維持","customer_retention_tab","顧客離反率と維持率を分析し、高リスク顧客を識別し、維持戦略を策定します"
"エンゲージメントフロー","engagement_flow_tab","顧客活動とコンバージョンファネルを追跡し、ユーザー体験とコンバージョンプロセスを最適化します"
"DNA分析","dna_analysis_tab","顧客DNA分析(RFM+行動パターン)を実行し、顧客特性と価値分布を深く理解します"
