concept_name,var_id,description
"Upload Review Data","upload_reviews","Upload Excel or CSV files containing customer reviews. Supports multi-file simultaneous upload with automatic merging. Must include Variation (brand/product), Title, and Body (review content) columns"
"Upload Sales Data","upload_sales","Optional upload of sales data for Poisson regression analysis. Must include Variation, Time, and Sales columns. System intelligently matches review and sales data"
"Attribute Count Selection","num_attributes","Select the number of product attributes to extract from reviews (6-10). System uses GPT-4o-mini to analyze review content and extract the most important and frequently occurring product characteristics"
"Generate Attributes","gen_facets","AI randomly samples 30 reviews from each Variation for analysis, extracting the specified number of key attributes. Attributes are ranked by frequency of occurrence"
"Review Count","nrows","Set the number of reviews to score for each Variation (10-100). System randomly samples the specified number of reviews for attribute scoring"
"Start Scoring","score_button","Score selected reviews on attributes (1-5 scale). Uses parallel processing to send multiple requests to GPT simultaneously to accelerate the scoring process"
"Score Average Table","variation_mean_tbl","Displays average scores for each Variation (brand/product) on each attribute, serving as foundational data for sales model analysis"
"Run Sales Model","run_poisson","Uses Poisson regression to analyze the impact of attribute scores on sales. Calculates track multipliers and marginal effects to identify key success factors"
"Track Multiplier","track_multiplier","exp(β × (max_score - min_score)), represents the overall sales impact multiplier when an attribute improves from lowest to highest score. Used to identify long-term strategic improvement priorities"
"Marginal Effect Percentage","marginal_effect","(exp(β) - 1) × 100, represents the sales growth percentage from a 1-point increase in an attribute. Used to evaluate ROI of daily optimization efforts"
"Smart Matching","smart_matching","When review data Variations don't perfectly match sales data, the system automatically establishes correspondence to ensure analysis can proceed"
"PCA Analysis","pca_analysis","Principal Component Analysis reduces multi-dimensional attributes to 3D space visualization. PC1 typically represents overall quality, PC2 represents differentiation features, PC3 represents niche market preferences"
"Ideal Product Analysis","ideal_analysis","Uses MAMBA method: ideal point for each attribute is the highest score across all brands. Brands scoring at or above the ideal point get 1 point. Higher total scores indicate closer to market ideal product"
"Login System","login_system","Login using username and password. System supports new account registration. Admin accounts have unlimited logins, regular users are limited to 100 logins"
"Data Storage","data_storage","Uploaded raw data and scoring results are stored in JSON format in the database for convenient future analysis and tracking"
"Step Indicator","step_indicator","Visualizes three-step process progress: 1. Upload Data → 2. Attribute Scoring → 3. Sales Model. Completed steps show green, current step shows blue"
"Test Account","test_account","System default test account: admin / admin123, has admin privileges with unlimited login attempts"
"Database Switching","db_switch","System prioritizes PostgreSQL, automatically switches to SQLite local test mode if connection fails, ensuring smooth development and testing"
"Parallel Processing","parallel_processing","Uses future/furrr packages for parallel processing during scoring, significantly improving speed for multiple review scoring"
"Result Interpretation","result_interpretation","System automatically generates analysis reports including strategic level (track multipliers) and tactical level (marginal effects) specific recommendations"
