concept_name,var_id,description
"資料上傳","upload_button","點擊此按鈕上傳銷售數據檔案(支援 Excel、CSV 格式),系統將自動偵測客戶ID、時間、金額等關鍵欄位"
"時間範圍選擇","date_range","選擇要分析的銷售數據時間範圍,建議選擇30-90天以觀察完整的客戶行為趨勢"
"產品選擇","product_select","選擇要分析的目標產品或產品類別,可多選進行比較分析"
"銷售監測","sales_monitor_tab","即時監測各產品線的銷售表現與關鍵指標,包含營收、訂單量、轉換率等"
"市場趨勢","market_trends_tab","分析市場趨勢變化,預測未來銷售走向,識別季節性模式和週期性變化"
"競品分析","competitor_analysis","比較自家產品與競爭對手的市場表現,識別競爭優勢與劣勢,制定差異化策略"
"銷售健康度","sales_health_score","綜合評估產品銷售健康狀況,100分代表最佳狀態,低於60分需要立即調整策略"
"異常警報","anomaly_alert","自動偵測銷售異常狀況(如突然下滑、庫存不足等)並即時通知相關人員"
"轉換率分析","conversion_analysis","分析從瀏覽到購買的轉換率,找出優化機會點,提升銷售效率"
"客戶區隔","customer_segmentation","根據購買行為將客戶分群(RFM分析),制定精準行銷策略,提升客戶價值"
"產品組合","product_portfolio","分析產品組合表現,識別明星產品、問題產品、現金牛、瘦狗產品,優化產品策略"
"價格優化","price_optimization","基於市場反應與競品價格,提供最佳定價建議,平衡獲利與市佔率"
"促銷效果","promotion_effectiveness","評估各項促銷活動的ROI,找出最有效的促銷策略,優化行銷預算配置"
"庫存管理","inventory_management","預測需求量,避免缺貨或庫存過剩,降低庫存成本並提升客戶滿意度"
"季節性分析","seasonality_analysis","識別銷售的季節性模式,提前規劃行銷活動和庫存配置"
"關鍵績效指標","kpi_dashboard","追蹤重要KPI如營收、毛利率、客單價、回購率等,提供管理決策支援"
"預測模型","forecast_model","使用AI預測未來30-90天的銷售趨勢,輔助業務規劃與資源配置"
"行銷歸因","marketing_attribution","分析各行銷管道的貢獻度,優化預算配置,提升行銷ROI"
"客戶生命週期","customer_lifetime","計算客戶終身價值(CLV),制定客戶維繫策略,提升長期獲利"
"交叉銷售","cross_selling","識別產品關聯性,提供交叉銷售建議,提升客單價與客戶黏著度"
"營收脈能","revenue_pulse_tab","量化收入規模、單客價值與獲利韌性,追蹤營收健康度與成長動能"
"客戶增長","customer_acquisition_tab","監測新客獲取效率、成本與品質,優化客戶增長策略"
"客戶留存","customer_retention_tab","分析客戶流失率與留存率,識別高風險客戶,制定挽留策略"
"活躍轉化","engagement_flow_tab","追蹤客戶活躍度與轉化漏斗,優化用戶體驗與轉化流程"
"DNA分析","dna_analysis_tab","執行客戶DNA分析(RFM+行為模式),深度了解客戶特徵與價值分佈"
"最近來店時間","recency_stat","距離最近一次購買的天數。平均數顯示整體客戶的平均回購週期,中位數反映典型客戶行為,25%/75%分位數標示活躍與不活躍客戶界線,變異數衡量來店時間的離散程度"
"購買頻率","frequency_stat","觀察期間內的總購買次數。平均數與中位數的差距反映是否有少數高頻客戶,變異數高表示購買頻率差異大需要分群管理,25%/75%分位數幫助識別忠誠度層級"
"購買金額","monetary_stat","平均單次購買金額。高變異數表示購買金額離散程度大,需要差異化定價策略。分位數分析幫助設定促銷門檻與VIP標準"
"顧客活躍度","cai_stat","購買行為的趨勢指標。>0表示漸趨活躍(購買頻率上升),≈0表示穩定,<0表示漸趨靜止(可能流失)。用於預測客戶未來行為"
"時間序列聚合","time_series_aggregation","將交易數據按照不同時間週期(日/週/月/季/年)進行聚合,計算期間收入、交易數、客戶數等關鍵指標"
"成長率計算","growth_rate_calculation","計算各期間相對於前期的成長率,識別業務增長或衰退趨勢,支援環比和同比分析"
"移動平均","moving_average","使用移動平均平滑短期波動,更清楚地顯示長期趨勢,預設為3期移動平均"
"趨勢分析","trend_analysis","基於線性回歸分析數據趨勢方向(上升/下降/穩定)和強度,提供簡單的未來預測"
"季節性模式","seasonality_pattern","識別銷售數據中的季節性模式,幫助預測需求高峰和低谷,優化庫存和行銷計劃"
"過去價值","pcv_stat","歷史累積消費總額。反映客戶的歷史貢獻度,用於識別重要客戶。高中低分組可制定差異化服務策略"
"顧客穩定度指標","cri_stat","顧客交易穩定度的RFM綜合加權分數(0.3×R + 0.3×F + 0.4×M)標準化至0-100分。採用80/20法則分群:Top 20%為高穩定VIP客戶,Middle 60%為一般穩定客戶,Bottom 20%為低穩定風險客戶。分數越高代表客戶交易越穩定,價值貢獻越高"
"時間序列分析","time_series_analysis","分析銷售數據的時間趨勢,預測未來走向,支援策略規劃決策"
"營收銷售額","revenue_pulse_sales","總銷售額以美金計價,代表公司整體營收規模。追蹤此指標可了解業務成長趨勢與市場規模"
"人均購買金額","revenue_pulse_arpu","Average Revenue Per User (ARPU) 以美金計價,反映每位客戶的平均貢獻度。ARPU上升表示客戶價值提升,下降則需檢視定價策略"
"顧客終生價值","revenue_pulse_clv","Customer Lifetime Value (CLV) 以美金計價,預估客戶在整個生命週期內的總貢獻。CLV越高代表客戶忠誠度與價值越高"
"交易穩定度","revenue_pulse_stability","檢視整體顧客是否會穩定交易的綜合指標(0-100%)。Top 20%屬於穩定交易客戶,需要VIP維護;Bottom 20%屬於高風險群,需要挽留策略"
"顧客總數","customer_acquisition_total","現有活躍客戶的總數量,包含所有在觀察期間內有購買行為的客戶,不包含已流失或沉睡的客戶"
"累積顧客數","customer_acquisition_cumulative","從業務開始至今所有曾經購買過的客戶總數,包含活躍、沉睡、流失等所有狀態的客戶"
"顧客新增率","customer_acquisition_rate","企業於特定時間或地區尺度的顧客新增率,可與前期(月、季、年)相比較。反映亞馬遜通路產品的新增顧客成長或下降比率,有助企業檢視拓展新客的成效,並據此優化行銷策略"
"顧客變動率","customer_change_rate","客戶池的淨變動比率,計算活躍客戶佔總客戶數的百分比。正值表示客戶池健康成長,負值表示客戶流失速度高於新增速度,需要立即採取挽留措施"
"顧客留存率","customer_retention_rate","特定期間內持續活躍的客戶比例,衡量客戶忠誠度的核心指標。高留存率代表客戶滿意度高,低留存率需檢視產品與服務品質"
"顧客流失率","customer_churn_rate","特定期間內停止購買的客戶比例,與留存率互補。流失率上升是業務風險信號,需立即啟動挽留措施"
"流失風險客戶","at_risk_customers","近期購買頻率下降或長時間未購買的客戶群,包含瞌睡(S1)、半睡(S2)客戶。需要重點關注並執行喚醒策略"
"主力客比率","core_customer_ratio","主力客戶(E0)佔總客戶的比例,代表客戶基盤的健康度。比率越高表示客戶價值越集中,需平衡風險"
"靜止戶預測","dormant_prediction","預測即將進入沉睡狀態的客戶數量,基於購買週期與行為模式分析。提前識別可降低流失成本"
"新客","new_customers","首次購買的新客戶(N),是業務成長的動力來源。需要特殊關注以提升二購率"
"瞌睡客","drowsy_customers","購買頻率開始下降的客戶(S1),處於活躍與沉睡之間。黃金喚醒期,成功率最高"
"沉睡客","sleeping_customers","長期未購買的客戶(S3),喚醒成本高但仍有價值。需要強力促銷或重新激活策略"
