concept_name,var_id,description
"Data Upload","upload_button","Click this button to upload sales data files (supports Excel, CSV formats). System will automatically detect key fields such as customer ID, time, and amount"
"Date Range Selection","date_range","Select the time range for analyzing sales data. Recommend selecting 30-90 days to observe complete customer behavior trends"
"Product Selection","product_select","Select target products or product categories for analysis. Multiple selections allowed for comparative analysis"
"Sales Monitoring","sales_monitor_tab","Real-time monitoring of sales performance and key metrics for each product line, including revenue, order volume, conversion rate, etc."
"Market Trends","market_trends_tab","Analyze market trend changes, forecast future sales direction, identify seasonal patterns and cyclical changes"
"Competitor Analysis","competitor_analysis","Compare our products with competitors' market performance, identify competitive advantages and disadvantages, formulate differentiation strategies"
"Sales Health Score","sales_health_score","Comprehensive assessment of product sales health. 100 points represents optimal state, below 60 requires immediate strategy adjustment"
"Anomaly Alert","anomaly_alert","Automatically detect abnormal sales conditions (such as sudden declines, insufficient inventory, etc.) and notify relevant personnel in real-time"
"Conversion Analysis","conversion_analysis","Analyze conversion rate from browsing to purchase, identify optimization opportunities, improve sales efficiency"
"Customer Segmentation","customer_segmentation","Segment customers based on purchase behavior (RFM analysis), formulate precise marketing strategies, enhance customer value"
"Product Portfolio","product_portfolio","Analyze product portfolio performance, identify star products, problem products, cash cows, and dogs, optimize product strategy"
"Price Optimization","price_optimization","Provide optimal pricing recommendations based on market response and competitor prices, balance profitability and market share"
"Promotion Effectiveness","promotion_effectiveness","Evaluate ROI of various promotional activities, identify most effective promotion strategies, optimize marketing budget allocation"
"Inventory Management","inventory_management","Forecast demand, avoid stockouts or excess inventory, reduce inventory costs and improve customer satisfaction"
"Seasonality Analysis","seasonality_analysis","Identify seasonal patterns in sales, plan marketing activities and inventory allocation in advance"
"Key Performance Indicators","kpi_dashboard","Track important KPIs such as revenue, gross margin, average order value, repurchase rate, etc., provide management decision support"
"Forecast Model","forecast_model","Use AI to predict sales trends for the next 30-90 days, assist business planning and resource allocation"
"Marketing Attribution","marketing_attribution","Analyze contribution of each marketing channel, optimize budget allocation, improve marketing ROI"
"Customer Lifetime","customer_lifetime","Calculate Customer Lifetime Value (CLV), formulate customer retention strategies, enhance long-term profitability"
"Cross Selling","cross_selling","Identify product correlations, provide cross-selling recommendations, increase average order value and customer stickiness"
"Revenue Pulse","revenue_pulse_tab","Quantify revenue scale, per-customer value, and profit resilience, track revenue health and growth momentum"
"Customer Acquisition","customer_acquisition_tab","Monitor new customer acquisition efficiency, cost, and quality, optimize customer growth strategy"
"Customer Retention","customer_retention_tab","Analyze customer churn rate and retention rate, identify high-risk customers, formulate retention strategies"
"Engagement Flow","engagement_flow_tab","Track customer activity and conversion funnel, optimize user experience and conversion process"
"DNA Analysis","dna_analysis_tab","Execute customer DNA analysis (RFM + behavior patterns), deeply understand customer characteristics and value distribution"
"Recency","recency_stat","Days since last purchase. Mean shows average repurchase cycle, median reflects typical customer behavior, 25%/75% quantiles mark active/inactive boundaries, variance measures recency dispersion"
"Frequency","frequency_stat","Total purchase count during observation period. Gap between mean and median reflects presence of high-frequency customers, high variance indicates need for segmented management, quantiles help identify loyalty levels"
"Monetary","monetary_stat","Average purchase amount per transaction. High variance indicates need for differentiated pricing strategy. Quantile analysis helps set promotion thresholds and VIP standards"
"Customer Activity Index","cai_stat","Trend indicator of purchase behavior. >0 indicates increasing activity (rising purchase frequency), ≈0 indicates stability, <0 indicates declining activity (possible churn). Used to predict future customer behavior"
"Time Series Aggregation","time_series_aggregation","Aggregate transaction data by different time periods (daily/weekly/monthly/quarterly/yearly), calculate period revenue, transaction count, customer count and other key metrics"
"Growth Rate Calculation","growth_rate_calculation","Calculate growth rate of each period relative to previous period, identify business growth or decline trends, support period-over-period and year-over-year analysis"
"Moving Average","moving_average","Use moving average to smooth short-term fluctuations, more clearly display long-term trends, default to 3-period moving average"
"Trend Analysis","trend_analysis","Analyze data trend direction (ascending/descending/stable) and strength based on linear regression, provide simple future predictions"
"Seasonality Pattern","seasonality_pattern","Identify seasonal patterns in sales data, help forecast demand peaks and troughs, optimize inventory and marketing plans"
"Past Customer Value","pcv_stat","Historical cumulative spending. Reflects customer's historical contribution, used to identify important customers. High/medium/low grouping enables differentiated service strategies"
"Customer Resilience Index","cri_stat","RFM comprehensive weighted score (0.3×R + 0.3×F + 0.4×M) standardized to 0-100. Uses 80/20 rule: Top 20% are high-stability VIP customers, Middle 60% are average-stability customers, Bottom 20% are low-stability risk customers. Higher score indicates more stable transactions and higher value contribution"
"Time Series Analysis","time_series_analysis","Analyze time trends in sales data, forecast future direction, support strategic planning decisions"
"Revenue Sales","revenue_pulse_sales","Total sales in USD, represents overall company revenue scale. Tracking this metric reveals business growth trends and market size"
"ARPU","revenue_pulse_arpu","Average Revenue Per User in USD, reflects average contribution per customer. Rising ARPU indicates increasing customer value, declining ARPU requires pricing strategy review"
"Customer Lifetime Value","revenue_pulse_clv","Customer Lifetime Value (CLV) in USD, estimates total contribution over entire customer lifecycle. Higher CLV indicates higher customer loyalty and value"
"Transaction Stability","revenue_pulse_stability","Comprehensive indicator (0-100%) of whether customers maintain stable transactions. Top 20% are stable transaction customers requiring VIP maintenance; Bottom 20% are high-risk requiring retention strategies"
"Total Customers","customer_acquisition_total","Total number of current active customers, includes all customers with purchases during observation period, excludes churned or dormant customers"
"Cumulative Customers","customer_acquisition_cumulative","Total number of all customers who have ever purchased since business inception, includes active, dormant, churned and all other statuses"
"Customer Acquisition Rate","customer_acquisition_rate","Customer acquisition rate for specific time or geographic scale, comparable to previous periods (monthly, quarterly, yearly). Reflects new customer growth or decline rate for Amazon channel products, helps businesses review new customer expansion effectiveness and optimize marketing strategies"
"Customer Change Rate","customer_change_rate","Net change ratio of customer pool, calculates percentage of active customers to total customers. Positive value indicates healthy customer pool growth, negative value indicates churn speed exceeds acquisition speed, requiring immediate retention measures"
"Customer Retention Rate","customer_retention_rate","Proportion of continuously active customers during specific period, core indicator of customer loyalty. High retention rate indicates high customer satisfaction, low retention rate requires review of product and service quality"
"Customer Churn Rate","customer_churn_rate","Proportion of customers who stopped purchasing during specific period, complement to retention rate. Rising churn rate is business risk signal, requires immediate activation of retention measures"
"At-Risk Customers","at_risk_customers","Customer group with declining purchase frequency or long time since last purchase, includes drowsy (S1) and semi-dormant (S2) customers. Requires focused attention and reactivation strategies"
"Core Customer Ratio","core_customer_ratio","Proportion of core customers (E0) to total customers, represents health of customer base. Higher ratio indicates more concentrated customer value, requires risk balancing"
"Dormant Prediction","dormant_prediction","Predicts number of customers about to enter dormant state, based on purchase cycle and behavior pattern analysis. Early identification reduces churn costs"
"New Customers","new_customers","First-time purchasing new customers (N), are driving force of business growth. Requires special attention to increase second purchase rate"
"Drowsy Customers","drowsy_customers","Customers with declining purchase frequency (S1), between active and dormant states. Golden reactivation period with highest success rate"
"Sleeping Customers","sleeping_customers","Long-term non-purchasing customers (S3), high reactivation cost but still valuable. Requires strong promotions or reactivation strategies"
"Customer Activity Index","activity_conversion_cai","Customer Activity Index (CAI) measures trend of customer purchase behavior activity. Value >0 indicates increasing activity, =0 indicates stability, <0 indicates declining activity. Used to predict future customer behavior and formulate personalized marketing strategies"
"Customer Conversion Rate","activity_conversion_rate","Measures conversion proportion of customers advancing from first purchase to loyal customer. High conversion rate indicates excellent product and service quality, high customer satisfaction, beneficial for long-term revenue growth"
"Reactivation Rate","activity_reactivation_rate","Proportion of successfully reactivated dormant or drowsy customers. Reflects effectiveness of customer retention strategies, high reactivation rate helps reduce customer acquisition costs and improve overall retention rate"
"Purchase Frequency","activity_purchase_frequency","Average number of customer purchases during observation period. High-frequency customers typically have higher loyalty and lifetime value, are key relationship maintenance targets"
"Average Inter-Purchase Time","activity_inter_purchase_time","Average interval in days between two purchases. Shorter interval indicates higher customer stickiness, can be used to predict next purchase timing and schedule marketing activities"
"Activity Distribution Chart","activity_distribution_chart","Shows distribution of all customers' activity index. Left-skewed distribution indicates most customers have low activity requiring incentives, right-skewed distribution indicates overall good customer performance. Can be used to identify abnormal customers and formulate segmentation strategies"
"Conversion Funnel Chart","conversion_funnel_chart","Shows conversion funnel from first purchase to loyal customer. '≥5 purchase conversion rate' refers to proportion of customers with 5+ purchases, reflects product stickiness. Stage-by-stage churn analysis helps identify optimization opportunities"
"Multi-file Upload","dna_files","Supports simultaneous upload of multiple files (up to 12), system automatically merges all files. Maximum 200MB per file, supports .csv, .xlsx, .xls formats"
"Field Detection","field_detection","System automatically detects key fields: customer_id (customer identifier), payment_time (transaction time), lineitem_price (transaction amount). Priority matching for buyer email, purchase date, item price and other common field names"
"Data Format","data_format","Please ensure uploading at least 3-12 months of sales data to ensure analysis accuracy. System supports Amazon sales reports, Excel, CSV and other formats"
"Customer ID Field","customer_id_field","System automatically detects customer identifier field, prioritizes email addresses (buyer email, buyer_email, email), then customer_id, customer, buyer_id, user_id, etc."
"Time Field","payment_time_field","System automatically detects transaction time field, includes purchase date, payments date, payment_time, date, time, datetime formats"
"Amount Field","lineitem_price_field","System automatically detects transaction amount field, includes item price, lineitem_price, amount, sales, price, total"
"Standardization","standardization","Regardless of original field names, system converts to standard variable names: customer_id, payment_time, lineitem_price for convenient subsequent analysis"
"Upload and Preview","load_btn","Click to load and merge all files, auto-detect fields, and display first 100 records preview. Success shows total record count and unique customer count"
"Next Step","to_step2","After confirming data is correct, click to proceed to customer analysis. Must successfully upload data first to continue"
"Data Preview","dna_preview_tbl","Shows first 100 records of uploaded data for format verification. Supports horizontal scrolling to view all fields"
"Amazon Example","amazon_example","Amazon sales report CSV format example, includes required buyer email, purchase date, item price fields"
"Source File","source_file","System automatically records source filename for each record, facilitating tracking and debugging"
"Data Cleaning","data_cleaning","System automatically removes records missing key fields (customer_id, payment_time, lineitem_price) and converts data types"
"Upload Status","step1_msg","Shows upload processing status messages, including success, failure, warnings. Please read carefully to confirm operation results"
"Core Customers","core_customers","Core customers (E0) are the most loyal and valuable customers who require continuous maintenance. Provide VIP services and exclusive offers to maintain high-value customer loyalty"
"Semi-Sleeping","semi_sleeping_customers","Semi-sleeping customers (S2) have longer periods of inactivity and face higher churn risk. Design retention strategies such as exclusive offers and product recommendations to re-activate them"
