concept_name,var_id,description
"上傳評論資料","upload_reviews","上傳包含客戶評論的Excel或CSV檔案，支援多檔案同時上傳自動合併。必須包含Variation（品牌/產品）、Title（標題）、Body（評論內容）三個欄位"
"上傳銷售資料","upload_sales","選擇性上傳銷售資料進行Poisson迴歸分析。需包含Variation、Time、Sales欄位。系統會智能匹配評論與銷售資料"
"屬性數量選擇","num_attributes","選擇要從評論中萃取的產品屬性數量（6-10個）。系統會使用GPT-4o-mini分析評論內容，萃取最重要且頻繁出現的產品特質"
"產生屬性","gen_facets","AI會隨機抽取每個Variation各30則評論進行分析，萃取指定數量的關鍵屬性。屬性會依出現頻率排序"
"評論則數","nrows","設定每個Variation要評分的評論數量（10-100則）。系統會隨機抽樣指定數量的評論進行屬性評分"
"開始評分","score_button","對選定的評論進行屬性評分（1-5分）。使用平行處理同時向GPT發送多個請求以加速評分過程"
"評分均值表","variation_mean_tbl","顯示各Variation（品牌/產品）在每個屬性上的平均分數，作為銷售模型分析的基礎資料"
"執行銷售模型","run_poisson","使用Poisson迴歸分析各屬性評分對銷售的影響。計算賽道倍數與邊際效應，識別關鍵成功因素"
"賽道倍數","track_multiplier","exp(β × (max_score - min_score))，代表屬性從最低分提升到最高分的總體銷售影響倍數。用於識別長期戰略改進重點"
"邊際效應百分比","marginal_effect","(exp(β) - 1) × 100，代表屬性每提升1分帶來的銷售增長百分比。用於評估日常優化的投報率"
"智能對應","smart_matching","當評論資料的Variation與銷售資料不完全匹配時，系統會自動建立對應關係，確保分析可以進行"
"PCA分析","pca_analysis","主成分分析將多維屬性降至3D空間視覺化。PC1通常代表整體品質，PC2代表差異化特徵，PC3代表細分市場偏好"
"理想產品分析","ideal_analysis","使用MAMBA方式計算：每個屬性的理想點為所有品牌中的最高分。品牌達到或超過理想點得1分，總分越高表示越接近市場理想產品"
"登入系統","login_system","使用帳號密碼登入。系統支援註冊新帳號，管理員帳號無登入次數限制，一般用戶限制100次登入"
"資料儲存","data_storage","上傳的原始資料與評分結果會以JSON格式存入資料庫，方便後續分析與追蹤"
"步驟指示器","step_indicator","視覺化顯示三步驟流程進度：1.上傳資料 → 2.屬性評分 → 3.銷售模型。已完成步驟顯示綠色，當前步驟顯示藍色"
"測試帳號","test_account","系統預設測試帳號：admin / admin123，具有管理員權限，無登入次數限制"
"資料庫切換","db_switch","系統優先使用PostgreSQL，連接失敗時自動切換到SQLite本地測試模式，確保開發與測試順暢"
"平行處理","parallel_processing","評分時使用future/furrr套件進行平行處理，大幅提升多則評論的評分速度"
"結果解讀","result_interpretation","系統自動生成分析報告，包含戰略層面（賽道倍數）與戰術層面（邊際效應）的具體建議"
